k,home_adv,regress,scale,mov_cap,log_loss,brier
10.0,80.0,0.33,400.0,2.5,0.6587931450173792,0.23219289085610173
13.0,50.0,0.33,400.0,2.5,0.6588205709555619,0.23213169897884042
10.0,70.0,0.25,400.0,2.0,0.658833771087107,0.23222153953665828
20.0,60.0,0.5,400.0,2.0,0.6588450506228052,0.23212438952552233
13.0,80.0,0.4,400.0,2.5,0.6588513498035004,0.23214999405853384
13.0,80.0,0.4,400.0,2.0,0.6588701716560479,0.23223954124347215
10.0,50.0,0.25,400.0,2.0,0.6588740078328501,0.23219422398442077
10.0,80.0,0.5,400.0,2.0,0.6588829463544666,0.23228230661373628
13.0,50.0,0.33,400.0,3.0,0.658885194652178,0.23210478735637213
10.0,80.0,0.4,400.0,2.0,0.658973017671054,0.23232637000116615
16.0,60.0,0.4,400.0,2.5,0.6590036021146288,0.23216214126699836
16.0,80.0,0.5,400.0,2.5,0.6591257196889838,0.23218975870422182
16.0,80.0,0.5,400.0,3.0,0.6591369595145863,0.23207341207606144
16.0,60.0,0.33,400.0,2.0,0.6591913386599676,0.23231840815875496
20.0,70.0,0.5,400.0,2.0,0.6591934120062082,0.2322574643166732
13.0,60.0,0.25,400.0,2.0,0.65921375890777,0.23235247385823873
10.0,80.0,0.33,400.0,2.0,0.659298513875815,0.23247204366934812
16.0,60.0,0.4,400.0,3.0,0.6593020894574523,0.2322022238431103
16.0,70.0,0.4,400.0,2.5,0.659326608877758,0.2322813750840427
20.0,50.0,0.5,400.0,2.0,0.6593277409325674,0.2323650611664086
16.0,50.0,0.4,400.0,2.5,0.6595111800304388,0.2324137955006465
16.0,70.0,0.33,400.0,2.0,0.6595448341532663,0.23246780940919534
13.0,80.0,0.33,400.0,2.0,0.6595711274221008,0.2325435707066199
13.0,70.0,0.25,400.0,2.0,0.6595756747892301,0.2325183547207968
16.0,70.0,0.4,400.0,3.0,0.6595865810295188,0.23228550703094084
10.0,80.0,0.25,400.0,3.0,0.6596106183396871,0.2324668081970447
16.0,50.0,0.33,400.0,2.0,0.6596588489273258,0.23253887692034517
13.0,50.0,0.25,400.0,2.0,0.6596666516485984,0.2325563565644631
16.0,80.0,0.4,400.0,2.0,0.6597023782777122,0.23254861392448473
13.0,80.0,0.33,400.0,3.0,0.6598025472102981,0.23245383838200884
13.0,80.0,0.33,400.0,2.5,0.6598336340654363,0.23256820374441659
10.0,80.0,0.25,400.0,2.5,0.659844944600006,0.2326445169101304
16.0,50.0,0.4,400.0,3.0,0.6598568580789747,0.23248923539646288
13.0,60.0,0.25,400.0,2.5,0.6598732521170438,0.2325833118757202
10.0,80.0,0.25,400.0,2.0,0.6600194991712708,0.2327869851629799
13.0,60.0,0.25,400.0,3.0,0.6600924534980481,0.2325995955633992
13.0,70.0,0.25,400.0,2.5,0.6602026868707448,0.23271391857121212
20.0,60.0,0.4,400.0,2.0,0.6602823194570941,0.2327586460451466
16.0,60.0,0.33,400.0,2.5,0.660308162896536,0.23272892105296186
20.0,80.0,0.5,400.0,2.0,0.6603616877598671,0.23275156320561682
13.0,50.0,0.25,400.0,2.5,0.6603647442767693,0.23281854750847558
13.0,70.0,0.25,400.0,3.0,0.6603920269173619,0.23270197395688977
20.0,60.0,0.5,400.0,2.5,0.6604146021272624,0.23270331899666793
16.0,80.0,0.4,400.0,2.5,0.6604673834009519,0.2327581069471597
20.0,70.0,0.4,400.0,2.0,0.6606176297781577,0.23287334368970072
13.0,50.0,0.25,400.0,3.0,0.6606205769435488,0.2328620288471912
16.0,70.0,0.33,400.0,2.5,0.6606215638185473,0.23283368481748667
16.0,80.0,0.4,400.0,3.0,0.6607016889840716,0.2327276258247449
16.0,80.0,0.33,400.0,2.0,0.6607091587814113,0.23297486268315487
20.0,70.0,0.5,400.0,2.5,0.6607102454462516,0.2327769329718582
13.0,80.0,0.25,400.0,2.0,0.6607433387981749,0.23304219890597447
16.0,60.0,0.25,400.0,2.0,0.6607444274263322,0.23299695350046287
16.0,60.0,0.33,400.0,3.0,0.6607632266943106,0.23282563972294454
20.0,50.0,0.4,400.0,2.0,0.6607773491104718,0.23301221580579376
16.0,50.0,0.33,400.0,2.5,0.6608239390067239,0.2329901118447553
20.0,50.0,0.5,400.0,2.5,0.6609628813943939,0.23300062421565804
16.0,70.0,0.33,400.0,3.0,0.6610415561555355,0.23289605666348087
